Date,Actual_Altitude_km,Predicted_Altitude_km,Persistence_Baseline_km,Predicted_Delta_km,Actual_Delta_km,Is_Reboost_Maneuver
2023-10-23,417.9264,418.03973169976473,418.0318125,0.0079192,-0.10541249999999991,False
2023-10-24,417.86321428571426,417.93431919976473,417.9264,0.0079192,-0.06318571428573705,False
2023-10-25,417.7695,417.871133485479,417.86321428571426,0.0079192,-0.09371428571427032,False
2023-10-26,417.693625,417.7774191997647,417.7695,0.0079192,-0.07587499999999636,False
2023-10-27,417.5976666666667,417.7015441997647,417.693625,0.0079192,-0.09595833333327164,False
2023-10-28,417.4772142857143,417.60558586643145,417.5976666666667,0.0079192,-0.12045238095242894,False
2023-10-29,417.27933333333334,417.485133485479,417.4772142857143,0.0079192,-0.19788095238095593,False
2023-10-30,417.09475,417.28725253309807,417.27933333333334,0.0079192,-0.1845833333333644,False
2023-10-31,416.97214285714284,417.1026691997647,417.09475,0.0079192,-0.12260714285713448,False
2023-11-01,416.8274166666667,416.98006205690757,416.97214285714284,0.0079192,-0.14472619047614899,False
2023-11-02,416.67766666666665,416.8353358664314,416.8274166666667,0.0079192,-0.14975000000004002,False
2023-11-03,416.58131249999997,416.6855858664314,416.67766666666665,0.0079192,-0.09635416666668561,False
2023-11-04,416.4670625,416.5892316997647,416.58131249999997,0.0079192,-0.11424999999996999,False
2023-11-05,416.326,416.4749816997647,416.4670625,0.0079192,-0.14106249999997544,False
2023-11-06,416.148125,416.33025581773745,416.326,0.0042558177,-0.17787500000002865,False
2023-11-07,416.0149285714286,416.15161117578856,416.148125,0.0034861758,-0.13319642857140934,False
2023-11-08,415.9000625,416.0189389446894,416.0149285714286,0.0040103733,-0.11486607142859384,False
2023-11-09,415.80091666666664,415.9050485305153,415.9000625,0.0049860305,-0.09914583333335258,False
2023-11-10,418.43364285714284,415.80690539631865,415.80091666666664,0.0059887297,2.6327261904762054,True
2023-11-11,419.0034444444444,418.4404771233845,418.43364285714284,0.0068342662,0.5698015873015834,True
2023-11-12,418.8921,419.0109126377482,419.0034444444444,0.0074681933,-0.1113444444443985,False
2023-11-13,418.8082222222222,418.89999988040927,418.8921,0.00789988,-0.08387777777784322,False
2023-11-14,418.7257142857143,418.81638713095913,418.8082222222222,0.008164909,-0.08250793650790911,False
2023-11-15,418.638125,418.73401936036134,418.7257142857143,0.008305075,-0.08758928571427305,False
2023-11-16,418.5747857142857,418.64604419976473,418.638125,0.0079192,-0.06333928571427805,False
2023-11-17,418.5089,418.58270491405045,418.5747857142857,0.0079192,-0.06588571428574141,False
2023-11-18,418.43474999999995,418.5168191997647,418.5089,0.0079192,-0.07415000000003147,False
2023-11-19,418.36035714285714,418.4426691997647,418.43474999999995,0.0079192,-0.07439285714281141,False
2023-11-20,418.3017,418.36827634262187,418.36035714285714,0.0079192,-0.058657142857157396,False
2023-11-21,418.1937857142857,418.3096191997647,418.3017,0.0079192,-0.10791428571428696,False
2023-11-22,418.0695,418.2017049140504,418.1937857142857,0.0079192,-0.12428571428569057,False
2023-11-23,417.8915714285714,418.07741919976473,418.0695,0.0079192,-0.17792857142859475,False
2023-11-24,417.7201,417.89949062833614,417.8915714285714,0.0079192,-0.17147142857140807,False
2023-11-25,417.57340000000005,417.72801919976473,417.7201,0.0079192,-0.14669999999995298,False
2023-11-26,417.3843,417.5794902140104,417.57340000000005,0.006090214,-0.18910000000005311,False
2023-11-27,417.2051875,417.38817754826806,417.3843,0.0038775483,-0.1791124999999738,False
2023-11-28,417.09257142857143,417.20711315156615,417.2051875,0.0019256516,-0.1126160714285902,False
2023-11-29,416.92119999999994,417.0930289255649,417.09257142857143,0.000457497,-0.17137142857149001,False
2023-11-30,416.7629166666666,416.9206850919465,416.92119999999994,-0.00051490805,-0.15828333333331557,False
2023-12-01,416.6769166666666,416.76184646585176,416.7629166666666,-0.0010702008,-0.08600000000001273,False
2023-12-02,416.5288333333333,416.6719294598909,416.6769166666666,-0.004987207,-0.14808333333331802,False
2023-12-03,416.412375,416.5193622465481,416.5288333333333,-0.009471087,-0.11645833333329847,False
2023-12-04,416.2425714285714,416.3990558503866,416.412375,-0.01331915,-0.16980357142858793,False
2023-12-05,416.15920000000006,416.2264210378421,416.2425714285714,-0.01615039,-0.08337142857135404,False
2023-12-06,416.06778571428566,416.141042070818,416.15920000000006,-0.01815793,-0.09141428571439292,False
2023-12-07,415.982375,416.0484431260249,416.06778571428566,-0.019342588,-0.08541071428567193,False
2023-12-08,415.94533333333334,415.962464539662,415.982375,-0.01991046,-0.03704166666665287,False
2023-12-09,415.868,415.9252771824797,415.94533333333334,-0.02005615,-0.07733333333334258,False
2023-12-10,415.8163333333334,415.84806132245063,415.868,-0.019938678,-0.051666666666619676,False
2023-12-11,415.7695,415.79665670760477,415.8163333333334,-0.019676626,-0.04683333333338169,False
2023-12-12,415.71139999999997,415.7498233742714,415.7695,-0.019676626,-0.058100000000024465,False
2023-12-13,415.646625,415.69172337427136,415.71139999999997,-0.019676626,-0.06477499999999736,False
2023-12-14,415.5753333333334,415.62694837427136,415.646625,-0.019676626,-0.07129166666658193,False
2023-12-15,415.48535714285714,415.5556567076048,415.5753333333334,-0.019676626,-0.08997619047624994,False
2023-12-16,415.4,415.46568051712853,415.48535714285714,-0.019676626,-0.08535714285716267,False
2023-12-17,415.2930833333333,415.38032337427137,415.4,-0.019676626,-0.10691666666667743,False
2023-12-18,415.1885,415.2734067076047,415.2930833333333,-0.019676626,-0.10458333333332348,False
